month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2026-05,Anxiety Disorders,Age,12-17 years,2160
2026-05,Anxiety Disorders,Age,18-34 years,2864
2026-05,Anxiety Disorders,Age,35-64 years,3171
2026-05,Anxiety Disorders,Age,65+ years,2838
2026-05,Anxiety Disorders,Age,All,2636
2026-05,Anxiety Disorders,RaceEthnicity,AI/AN,2800
2026-05,Anxiety Disorders,RaceEthnicity,All,2636
2026-05,Anxiety Disorders,RaceEthnicity,Asian,1584
2026-05,Anxiety Disorders,RaceEthnicity,Black,1672
2026-05,Anxiety Disorders,RaceEthnicity,Hispanic,2158
2026-05,Anxiety Disorders,RaceEthnicity,Multiple/Other,2037
2026-05,Anxiety Disorders,RaceEthnicity,NHOPI,1275
2026-05,Anxiety Disorders,RaceEthnicity,White,3296
2026-05,Anxiety Disorders,Sex,All,2636
2026-05,Anxiety Disorders,Sex,Female,3072
2026-05,Anxiety Disorders,Sex,Male,2104
2026-05,Anxiety Disorders,Total,All,2636
2026-04,Anxiety Disorders,Age,12-17 years,2271
2026-04,Anxiety Disorders,Age,18-34 years,2925
2026-04,Anxiety Disorders,Age,35-64 years,3231
2026-04,Anxiety Disorders,Age,65+ years,2923
2026-04,Anxiety Disorders,Age,All,2688
2026-04,Anxiety Disorders,RaceEthnicity,AI/AN,2927
2026-04,Anxiety Disorders,RaceEthnicity,All,2688
2026-04,Anxiety Disorders,RaceEthnicity,Asian,1589
2026-04,Anxiety Disorders,RaceEthnicity,Black,1685
2026-04,Anxiety Disorders,RaceEthnicity,Hispanic,2190
2026-04,Anxiety Disorders,RaceEthnicity,Multiple/Other,1999
2026-04,Anxiety Disorders,RaceEthnicity,NHOPI,1362
2026-04,Anxiety Disorders,RaceEthnicity,White,3381
2026-04,Anxiety Disorders,Sex,All,2688
2026-04,Anxiety Disorders,Sex,Female,3114
2026-04,Anxiety Disorders,Sex,Male,2162
2026-04,Anxiety Disorders,Total,All,2688
2026-03,Anxiety Disorders,Age,12-17 years,2153
2026-03,Anxiety Disorders,Age,18-34 years,2893
2026-03,Anxiety Disorders,Age,35-64 years,3187
2026-03,Anxiety Disorders,Age,65+ years,2893
2026-03,Anxiety Disorders,Age,All,2626
2026-03,Anxiety Disorders,RaceEthnicity,AI/AN,2889
2026-03,Anxiety Disorders,RaceEthnicity,All,2626
2026-03,Anxiety Disorders,RaceEthnicity,Asian,1569
2026-03,Anxiety Disorders,RaceEthnicity,Black,1651
2026-03,Anxiety Disorders,RaceEthnicity,Hispanic,2113
2026-03,Anxiety Disorders,RaceEthnicity,Multiple/Other,1915
2026-03,Anxiety Disorders,RaceEthnicity,NHOPI,1322
2026-03,Anxiety Disorders,RaceEthnicity,White,3312
